,uid,artist,title,artist_uri,album_uri,item_uri,tags
0,153506,Jerusalem In My Heart,Bein Ithnein,spotify:artist:3mjy0fneW0GyVeueXLXSuS,spotify:album:3ucZEyLjgBJRAqihlbC9oz,spotify:track:3dabdx9u8inGgZ1RINg4Kq,"['arab experimental', 'arab groove', 'lebanese indie']"
1,129324,Valgeir Sigurđsson,Draumaland,spotify:artist:5AVGx9Dhw7OLeJ5at3Y19f,spotify:album:6b3c9R9fLzeNmr3Mq588qm,spotify:track:1nt74pAE6jGBnSQMUExfeN,"['compositional ambient', 'icelandic classical', 'icelandic experimental']"
2,152119,Laura Cannell,A New Theory of Eclipse,spotify:artist:6vu845nbe3HOXDNYhMmZSq,spotify:album:5mcyW7AGnrEalBrBrmatvV,spotify:track:0IRlFT1LXyBUFwVibuzqcV,['experimental folk']
3,158697,Gwenifer Raymond,Strange Lights Over Garth Mountain,spotify:artist:2scavaz2jGMWRFULHoe5je,spotify:album:5KyXUkcCGN6Gb9sVKXyQ3N,spotify:track:7tMZIgEOJtQj0used3j7jY,"['american primitive', 'uk americana']"
4,154597,Anna Webber,Array,spotify:artist:5t4GxKBhHu9kFsRzHTEMfn,,,[]
5,127854,Ben Neill,Posthorn,spotify:artist:2nmJMMb4OCayxFbtM2yYxe,spotify:album:4EY23uMraQ4iMTNBHfbBdp,spotify:track:52ZWXNjeTFO6pQ7zFhDQYb,['ambient fusion']
6,148613,Ólafur Arnalds,Doria,spotify:artist:7E3BRXV9ZbCt5lQTCXMTia,spotify:album:1LvZUmULkYj2c3oxIZhbkX,spotify:track:0NVsz5lExNqzVDznhdPlU8,"['bow pop', 'compositional ambient', 'icelandic classical', 'neo-classical', 'neoclassical darkwave']"
7,151128,Bobby Previte,When I Land,spotify:artist:2c2LlwkBwuEPvSTBDrZeZ4,spotify:album:3Xhjv2EN5iIrFquRAdu9t4,spotify:track:0rfxI1JJ33lo7kOJMBiDx4,['tzadik']
8,153511,Zeena Parkins and The Adorables,Invented,,,,[]
9,129602,Philip Glass,Akhnaten: Funeral,spotify:artist:69lxxQvsfAIoQbB20bEPFC,spotify:album:5xE7mkPZfZa8eu5A1DxzhG,spotify:track:2Rf7ytF4DAzVP3fBwyQHfR,"['american contemporary classical', 'classical', 'compositional ambient', 'contemporary classical', 'minimalism']"
